timestamp,lot_id,occupancy,queue,model1_price,model2_price,model3_price,reroute_flag
2016-10-04 07:59:00,BHMBCCMKT01,61,1,10.211438474870018,10.864987423623422,13.037984908348106,0
2016-10-04 08:25:00,BHMBCCMKT01,64,1,10.433275563258233,10.870691472492759,10.870691472492759,0
2016-10-04 08:59:00,BHMBCCMKT01,80,2,10.710571923743501,10.937682357547072,13.125218829056486,0
2016-10-04 09:32:00,BHMBCCMKT01,107,2,11.081455805892547,10.989018797371095,10.989018797371095,0
2016-10-04 09:59:00,BHMBCCMKT01,150,2,11.601386481802425,10.6136606926084,12.73639283113008,0
2016-10-04 10:26:00,BHMBCCMKT01,177,3,12.214904679376081,11.158682562073457,13.390419074488149,0
2016-10-04 10:59:00,BHMBCCMKT01,219,6,12.974003466204504,11.256823891786423,11.256823891786423,0
2016-10-04 11:25:00,BHMBCCMKT01,247,5,13.830155979202772,,,0
2016-10-04 11:59:00,BHMBCCMKT01,259,5,14.72790294627383,,,0
2016-10-04 12:29:00,BHMBCCMKT01,266,8,15.649913344887347,10.505093629128703,10.505093629128703,0
2016-10-04 13:02:00,BHMBCCMKT01,269,7,16.582322357019063,10.931344525470031,10.931344525470031,0
2016-10-04 13:29:00,BHMBCCMKT01,263,7,17.493934142114384,10.919936427731361,10.919936427731361,0
2016-10-04 14:02:00,BHMBCCMKT01,238,5,18.318890814558056,10.799264104984516,10.799264104984516,0
2016-10-04 14:29:00,BHMBCCMKT01,215,3,19.064124783362217,,,0
2016-10-04 14:57:00,BHMBCCMKT01,192,3,19.729636048526864,,,0
2016-10-04 15:30:00,BHMBCCMKT01,165,2,20.0,11.099297075511592,13.31915649061391,0
2016-10-04 16:04:00,BHMBCCMKT01,162,1,20.0,10.599907597001224,12.719889116401468,0
2016-10-04 16:31:00,BHMBCCMKT01,143,2,20.0,,,0
2016-10-05 07:57:00,BHMBCCMKT01,54,1,20.0,10.851677976261637,13.022013571513964,0
2016-10-05 08:30:00,BHMBCCMKT01,59,1,20.0,,,0
2016-10-05 09:04:00,BHMBCCMKT01,71,2,20.0,10.920570210939061,13.104684253126873,0
2016-10-05 09:30:00,BHMBCCMKT01,83,2,20.0,,,0
2016-10-05 10:04:00,BHMBCCMKT01,114,3,20.0,11.0388975358174,13.24667704298088,0
2016-10-05 10:30:00,BHMBCCMKT01,128,4,20.0,11.010662493914188,8.80852999513135,1
2016-10-05 11:04:00,BHMBCCMKT01,148,4,20.0,,,0
2016-10-05 11:30:00,BHMBCCMKT01,162,4,20.0,,,0
2016-10-05 12:04:00,BHMBCCMKT01,178,6,20.0,10.721752418682318,10.721752418682318,0
2016-10-05 12:30:00,BHMBCCMKT01,183,7,20.0,10.767828457882398,10.767828457882398,0
2016-10-05 12:57:00,BHMBCCMKT01,175,7,20.0,10.752617660897503,10.752617660897503,0
2016-10-05 13:30:00,BHMBCCMKT01,179,6,20.0,11.180769906861943,11.180769906861943,0
2016-10-05 13:57:00,BHMBCCMKT01,174,4,20.0,,,0
2016-10-05 14:30:00,BHMBCCMKT01,158,5,20.0,10.647156135135557,10.647156135135557,0
2016-10-05 14:57:00,BHMBCCMKT01,145,3,20.0,,,0
2016-10-05 15:30:00,BHMBCCMKT01,129,2,20.0,11.03084848907956,11.03084848907956,0
2016-10-05 16:04:00,BHMBCCMKT01,121,2,20.0,11.015637692094664,13.218765230513597,0
2016-10-05 16:30:00,BHMBCCMKT01,114,1,20.0,10.508642815091847,10.508642815091847,0
2016-10-06 07:57:00,BHMBCCMKT01,58,1,20.0,10.859283374754085,13.031140049704902,0
2016-10-06 08:30:00,BHMBCCMKT01,63,1,20.0,10.868790122869648,13.042548147443577,0
2016-10-06 08:57:00,BHMBCCMKT01,70,1,20.0,10.882099570231428,13.058519484277713,0
2016-10-06 09:30:00,BHMBCCMKT01,95,2,20.0,10.966202601893752,13.159443122272501,0
2016-10-06 10:03:00,BHMBCCMKT01,135,3,20.0,11.078825877902753,13.294591053483304,0
2016-10-06 10:30:00,BHMBCCMKT01,160,3,20.0,,,0
2016-10-06 10:57:00,BHMBCCMKT01,177,3,20.0,,,0
2016-10-06 11:30:00,BHMBCCMKT01,191,4,20.0,,,0
2016-10-06 12:04:00,BHMBCCMKT01,199,7,20.0,10.798250051852191,10.798250051852191,0
2016-10-06 12:30:00,BHMBCCMKT01,206,7,20.0,10.811559499213974,10.811559499213974,0
2016-10-06 12:57:00,BHMBCCMKT01,198,5,20.0,,,0
2016-10-06 13:30:00,BHMBCCMKT01,208,7,20.0,10.358246059903687,10.358246059903687,0
2016-10-06 13:57:00,BHMBCCMKT01,200,5,20.0,,,0
2016-10-06 14:30:00,BHMBCCMKT01,175,3,20.0,,,0
2016-10-06 15:04:00,BHMBCCMKT01,158,2,20.0,11.085987628149807,13.303185153779769,0
2016-10-06 15:31:00,BHMBCCMKT01,153,2,20.0,10.619364741477735,12.743237689773283,0
2016-10-06 16:04:00,BHMBCCMKT01,135,1,20.0,10.548571157177198,12.658285388612638,0
2016-10-06 16:30:00,BHMBCCMKT01,129,2,20.0,11.03084848907956,13.23701818689547,0
2016-10-07 08:03:00,BHMBCCMKT01,58,2,20.0,10.895852665838607,10.895852665838607,0
2016-10-07 08:30:00,BHMBCCMKT01,61,2,20.0,,,0
2016-10-07 09:04:00,BHMBCCMKT01,75,1,20.0,10.891606318346991,10.891606318346991,0
2016-10-07 09:30:00,BHMBCCMKT01,103,2,20.0,10.981413398878647,13.177696078654376,0
2016-10-07 09:57:00,BHMBCCMKT01,128,2,20.0,10.571831000899936,12.686197201079922,0
